Crater_ID,Confidence,Real_Lunar_Latitude,Real_Lunar_Longitude,Latitude_Decimal,Longitude_Decimal,Real_Diameter_km,Center_X_px,Center_Y_px,Official_IAU_Name
Crater #1,85.5%,10.36°N,19.42°W,10.3645,-19.4244,68.6,568,223,Uncataloged Impact Crater
Crater #2,84.0%,7.91°N,22.67°W,7.906,-22.6672,88.2,291,436,Uncataloged Impact Crater
Crater #3,83.2%,10.19°N,15.41°W,10.1913,-15.409,68.95,911,238,Uncataloged Impact Crater
Crater #4,82.3%,11.60°N,23.87°W,11.5995,-23.873,59.85,188,116,Uncataloged Impact Crater
Crater #5,82.2%,10.95°N,17.69°W,10.9531,-17.6918,34.65,716,172,Uncataloged Impact Crater
Crater #6,81.7%,8.39°N,22.15°W,8.3907,-22.1521,36.4,335,394,Uncataloged Impact Crater
Crater #7,80.1%,7.40°N,19.10°W,7.3981,-19.0966,49.0,596,480,IAU: Copernicus H
Crater #8,77.7%,9.13°N,19.27°W,9.1295,-19.2722,124.25,581,330,Uncataloged Impact Crater
Crater #9,76.8%,8.31°N,18.09°W,8.31,-18.0898,68.95,682,401,IAU: Copernicus H
Crater #10,76.6%,12.10°N,22.41°W,12.0958,-22.4097,60.9,313,73,Uncataloged Impact Crater
Crater #11,75.4%,7.17°N,17.45°W,7.1673,-17.446,43.75,737,500,Uncataloged Impact Crater
Crater #12,75.2%,7.95°N,15.44°W,7.9521,-15.4441,46.2,908,432,Uncataloged Impact Crater
Crater #13,74.0%,7.02°N,16.11°W,7.0172,-16.1114,40.6,851,513,Uncataloged Impact Crater
Crater #14,72.9%,9.65°N,18.55°W,9.6489,-18.5464,37.8,643,285,IAU: Copernicus A
Crater #15,71.9%,7.62°N,16.97°W,7.6174,-16.966,60.55,778,461,Uncataloged Impact Crater
Crater #16,71.2%,8.83°N,15.73°W,8.8294,-15.725,73.5,884,356,Uncataloged Impact Crater
Crater #17,70.6%,10.63°N,23.92°W,10.6299,-23.9199,67.9,184,200,Uncataloged Impact Crater
Crater #18,70.4%,10.50°N,19.75°W,10.503,-19.7522,28.35,540,211,Uncataloged Impact Crater
Crater #19,69.6%,10.79°N,21.50°W,10.7915,-21.4965,72.45,391,186,Uncataloged Impact Crater
Crater #20,67.8%,9.43°N,15.01°W,9.4296,-15.0109,35.0,945,304,Uncataloged Impact Crater
Crater #21,67.2%,7.28°N,15.62°W,7.2827,-15.6197,40.95,893,490,Uncataloged Impact Crater
Crater #22,67.2%,10.96°N,22.34°W,10.9647,-22.3394,29.05,319,171,Uncataloged Impact Crater
Crater #23,67.1%,11.32°N,16.33°W,11.3225,-16.3338,31.85,832,140,IAU: Gay-Lussac Crater
Crater #24,67.1%,7.07°N,22.20°W,7.0749,-22.1989,40.6,331,508,Uncataloged Impact Crater
Crater #25,66.7%,10.63°N,19.11°W,10.6299,-19.1083,38.5,595,200,Uncataloged Impact Crater
Crater #26,66.4%,10.00°N,20.74°W,9.9951,-20.7356,39.9,456,255,IAU: Copernicus (Main Rim)
Crater #27,66.4%,8.86°N,23.40°W,8.864,-23.4048,44.8,228,353,Uncataloged Impact Crater
Crater #28,65.7%,8.08°N,20.34°W,8.0791,-20.3376,40.95,490,421,Uncataloged Impact Crater
Crater #29,65.0%,9.91°N,22.00°W,9.9143,-21.9999,41.3,348,262,Uncataloged Impact Crater
Crater #30,64.8%,7.92°N,21.82°W,7.9175,-21.8243,52.15,363,435,Uncataloged Impact Crater
